id	text	label	word
1582833963558588419	@VonMieuhlbagge Jag vill ha ett Sverige med svensk kultur d.v.s. solidaritet, jämställdhet, religionsfrihet, yttrandefrihet	0	svensk kultur
1399817352330596358	@krigsplacerad @domarebraten Men alltså vad kulturberikande ändå. Nu behöver man inte kolla krigsdokumentärer längre. Pansaringlasad balkong och fram med kikarn, lådvinet och tilltugg.	1	kulturberikande
1578297054253973504	Skönt att bostäder och hus blir billigare. Det har varit onormal marknad sista 15 åren. Bostadsbrist pga immigration och globaliseringen som sänkte räntan. 🥳 aftonbladet.se/minekonomi/a/O…	0	globaliseringen
1582237428383121411	Sluta demonisera globaliseringen dlvr.it/SbGKrB https://t.co/jOcrZsiDXh	0	globaliseringen
1579484036560752640	@Ro_stenberg @Aftonbladet Det finns bara en sak som kommer att verkligen rädda jordens folk och det är inte grön politik, utan kapitalismen och globaliseringen så att de fattiga får pengar i fickan så att de kan börja utmana storbönder och människor slipper slaveriskulder, som Indien håller på med. 🤦🙄😆	0	globaliseringen
1583770650086617088	Vi vet alla vem och vilka som bestämmer i Sverige 2022. SD, ett rasistiskt och fascistiskt skräpparti som befolkas av rasister, fascister, nazister, haverister, kriminella, hatare och råpuckon. https://t.co/wOxDsbEC4I	0	kriminella
1581183202479476737	Det ”demokratiska statsskick” den förutvarande excellensens kuriöse konsult så salvelsefullt omnämner, upphörde den stund socialakrobaterna prisgav Sveriges suveränitet och offrade folkstyret på globalismens solkade altare.  Uppvisningsfilantroperna vredgas över maktskiftet. twitter.com/jackdoe/status…	1	suveränitet
1441043250689806341	@EmilBergholtz Var det en i raden av kulturberikande läkare som skrev så?	1	kulturberikande
1583786362381119488	@guywilson1961 @anderslindberg Ja, vi borde kriminalisera alkohol också så att kriminella kan tjäna ännu mer pengar!	0	kriminella
1583726090152910849	Bara de kriminella som är efterlysta hoppas jag. twitter.com/DanielssonUg/s…	0	kriminella
1583762617419431937	@SvDledare Tyvärr Lena, en brutal verklighet med hänsynslösa kriminella har gjort om vårt fredliga land. Det måste bli ett slut med visad hänsyn mot de hänsynslösa och på tolerans mot de intoleranta!  Sluta med den fjolliga ”snällheten” - Och som Fantomen, bli hård mot de hårda, stenhårda!	0	kriminella
